CellID,Hoechst_1,E-cadherin,panCK,Lamin B,Hoechst_2,Laminin,Vimentin,CD3D,Hoechst_3,Lamin AC,CK7,Collagen IV,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2702,820.2545103092783,162.37177835051546,403.2628865979381,137.80734536082474,182.33440721649484,133.88015463917526,177.37048969072166,300.4310567010309,145.58569587628867,152.39175257731958,112.75515463917526,111.4020618556701,10105.678479381444,4630.596649484536,1552,51.968139536497326,38.62259550195342,0.6690720127073698,0.9621822690638562,0.7218604651162791,0.5475900288291363
2703,676.3357357357357,167.7009009009009,443.33813813813816,146.24564564564565,105.71711711711711,106.03003003003003,103.46606606606606,137.05405405405406,121.91231231231231,148.3063063063063,110.22282282282282,111.09129129129128,10249.454654654655,4628.995195195195,1665,51.791277296621786,41.61636960731223,0.5952505876528241,0.943342776203966,0.6801470588235294,1.232367158374832
2704,807.9667036625971,234.14206437291898,924.0521642619312,312.82463928967815,261.5105438401776,132.99556048834629,171.38845726970033,243.25305216426193,147.78690344062153,173.12319644839067,121.6093229744728,115.14761376248613,7003.437291897892,4628.788013318535,901,43.01470744390143,27.106782403270042,0.7764533389607737,0.9298245614035088,0.6867378048780488,-0.3899757686100173
2705,254.97952218430035,109.39931740614334,147.08191126279863,112.71672354948805,110.37883959044369,107.87372013651877,104.83276450511946,144.22184300341297,126.77133105802048,147.40273037542661,109.6962457337884,111.21160409556315,3914.7849829351535,4621.3549488054605,293,23.20074684403793,17.085026708821513,0.6765465596687363,0.9301587301587302,0.6341991341991342,0.8985535549012574
2706,665.5581818181818,127.54363636363637,234.17818181818183,117.74909090909091,131.94545454545454,113.39636363636363,116.22,193.19454545454545,143.84727272727272,157.82545454545453,117.09272727272727,112.39454545454545,6316.478181818182,4622.989090909091,550,28.896279324114317,24.38015349004124,0.536795244367105,0.9615384615384616,0.7834757834757835,0.4561803864558589
2707,871.2806841046278,185.59054325955734,564.953722334004,436.4315895372233,137.90140845070422,121.77263581488934,146.3963782696177,285.51509054325953,149.15090543259558,171.45372233400403,123.30684104627767,114.61267605633803,6843.235412474849,4628.310865191147,994,36.41381067508609,35.060452018332384,0.2700941418544472,0.9622458857696031,0.8114285714285714,1.0630326104679901
2708,105.08686440677967,99.43008474576271,104.32415254237289,107.875,107.125,107.52754237288136,102.31991525423729,132.0084745762712,117.33262711864407,145.42161016949152,107.99364406779661,109.6885593220339,127.20762711864407,4623.7266949152545,472,36.57774380871327,18.51103344223157,0.8624902490278041,0.8428571428571429,0.6537396121883656,-1.513786483149124
2709,537.6024096385543,172.08835341365463,477.5100401606426,141.76439089692101,151.05220883534136,114.88487282463186,115.63319946452476,186.42704149933067,136.95314591700134,128.10843373493975,107.97590361445783,111.06961178045515,8505.145917001339,4628.196787148594,747,33.07129021013637,28.92915065547335,0.4845723326587202,0.9676165803108808,0.8032258064516129,0.7791854547571572
2710,1369.5722120658136,178.84460694698356,475.10786106032907,192.21755027422304,115.93967093235831,108.70383912248629,106.62157221206581,149.3583180987203,127.6672760511883,144.76965265082268,109.19195612431444,112.91590493601463,9513.687385740403,4629.970749542962,547,29.823686421751095,23.676630406978248,0.608065604325037,0.968141592920354,0.7058064516129032,-0.1759815861042555
2711,414.63990825688074,196.651376146789,555.5298165137615,158.9231651376147,571.6341743119266,138.30045871559633,189.39449541284404,330.4197247706422,136.848623853211,157.3256880733945,114.65711009174312,114.02178899082568,5540.938073394495,4629.836009174312,872,41.196353855828804,28.28624934354724,0.7270162861256637,0.9366272824919442,0.5662337662337662,1.157848292021355
2712,710.2294573643411,186.80077519379844,542.0302325581396,236.7612403100775,111.44651162790697,108.42790697674418,107.58527131782945,148.33023255813953,125.9798449612403,150.45271317829457,111.33178294573644,113.96279069767442,3621.8713178294574,4639.013178294574,1290,57.52677568047456,28.62875226565315,0.8673724234431209,0.9684684684684685,0.6373517786561265,0.8032311645682804
2713,459.16502808988764,155.02949438202248,377.2127808988764,140.31039325842696,137.83005617977528,112.65589887640449,115.07724719101124,161.33356741573033,140.56952247191012,158.33988764044943,116.3188202247191,111.90941011235955,6362.4058988764045,4650.248595505618,1424,51.27090282880554,39.50772932455946,0.6373575044262642,0.900695762175838,0.5628458498023715,0.330847056869229
2714,574.1157894736842,195.55964912280703,624.4017543859649,152.61052631578949,162.10877192982457,111.28245614035087,116.7140350877193,167.97894736842105,147.74912280701756,165.44035087719297,119.76315789473684,113.73508771929825,6811.471929824562,4632.659649122807,570,35.3568716201924,20.83782801656068,0.8078725470099604,0.9531772575250836,0.6566820276497696,-0.9512963270742071
2715,781.0423892100192,159.6319845857418,410.8246628131021,150.66859344894027,109.6319845857418,106.64932562620425,104.2504816955684,146.1888246628131,224.5761078998073,150.17341040462426,115.14450867052022,113.5009633911368,8916.38535645472,4629.551059730251,519,28.718736160120255,23.08331881815774,0.594937319655021,0.9719101123595506,0.8009259259259259,-0.9930471983410024
2716,287.7667560321716,131.98391420911528,296.2774798927614,130.80965147453082,122.171581769437,110.04691689008042,112.56434316353888,173.84986595174263,134.32841823056302,147.18498659517425,111.18498659517427,112.671581769437,3155.4034852546915,4635.945040214478,746,34.13289944864553,28.062594294632557,0.5692611428520407,0.9539641943734015,0.7836134453781513,0.27281024985011426
2717,591.6501128668172,144.55003762227238,371.8487584650113,145.20391271632806,194.26260346124906,123.24228743416103,161.3844996237773,229.80963130173063,132.02483069977427,155.69751693002257,114.87735139202408,113.6726862302483,3344.8811136192626,4639.872836719338,1329,45.634673846394584,37.675597714073675,0.5642683010840113,0.9616497829232996,0.7726744186046511,-0.6505708741847667
2718,481.5930735930736,163.11904761904762,422.74891774891773,183.517316017316,413.9978354978355,127.4047619047619,155.62337662337663,245.77489177489178,142.75324675324674,173.5021645021645,123.10606060606061,114.75757575757575,6648.443722943723,4630.909090909091,462,27.194925544347836,21.903613195876133,0.5926906946495576,0.9525773195876288,0.7439613526570048,-0.2676629719571034
2719,504.0549607423269,134.44468236973592,303.97287651677374,137.73661670235546,139.05638829407567,112.69593147751605,121.08351177730192,174.76659528907922,122.45253390435403,147.0521056388294,111.48179871520342,110.86438258386866,7955.175588865096,4639.823697359029,1401,45.201518671761455,39.839871765340746,0.47240148563965567,0.9543596730245232,0.79421768707483,0.8846756160466295
2720,281.54434589800445,129.5121951219512,266.6951219512195,159.81929046563192,123.5310421286031,117.48558758314856,132.55543237250555,219.73170731707316,125.01552106430155,153.60088691796008,112.61086474501109,111.05986696230599,8013.620842572062,4634.641906873614,902,39.48096833346896,29.535745509784622,0.6635850628484036,0.9575371549893843,0.7579831932773109,0.8444966112622435
2721,356.9889162561576,173.73399014778326,516.1391625615763,146.564039408867,123.80665024630542,117.94458128078817,126.70073891625616,220.54187192118226,133.79802955665025,154.4076354679803,114.86083743842364,111.66502463054188,2034.1206896551723,4635.124384236453,812,39.186170049222476,27.005252730153355,0.7246161964272854,0.9463869463869464,0.7914230019493177,-1.4350585489417735
2722,393.66614420062695,153.7115987460815,427.50313479623827,143.4451410658307,109.8307210031348,107.73510971786834,105.94670846394985,142.42789968652036,128.68495297805643,150.4843260188088,111.06583072100314,112.57366771159874,3936.4984326018807,4638.274294670847,638,30.00506430138739,27.700539021929508,0.3843307818845389,0.9206349206349206,0.7622461170848268,-0.38356103033691546
2723,285.9434947768281,138.57075023741692,332.70037986704654,135.7863247863248,169.23219373219374,127.02801519468186,153.81576448243115,299.048433048433,132.74976258309593,156.3005698005698,115.84710351377018,112.77207977207978,5882.607787274454,4648.379867046534,2106,52.20966933900746,51.615658208067366,0.15041737447285888,0.9777158774373259,0.7641509433962265,-0.18876801515720454
2724,451.3323649041255,144.56885531667635,328.7728065078443,233.815223707147,304.95642068564786,119.1725740848344,129.95235328297503,209.15107495642067,132.83672283556072,154.82975014526437,114.69145845438699,111.45264381173736,6252.482858803021,4640.385822196397,1721,65.33018007233522,34.43540741314919,0.8498045044929011,0.9409513395297977,0.7383097383097383,-1.4154506502563429
2725,664.6802973977696,156.65303593556382,403.28624535315987,134.10285006195787,207.21313506815366,124.84138785625774,135.9454770755886,247.16976456009914,133.12515489467162,129.07806691449815,107.5724907063197,111.93432465923172,8413.218091697645,4637.001239157373,807,33.52154206399701,30.69014008417672,0.40223865184255664,0.9781818181818182,0.813508064516129,0.9611091461500729
2726,241.1587982832618,198.56795422031473,573.3834048640915,141.653791130186,173.05579399141632,133.5379113018598,167.52646638054364,211.63233190271816,140.12589413447782,154.01144492131615,115.40343347639485,114.1659513590844,5528.799713876967,4648.616595135908,699,42.6772469444098,23.254561959752607,0.8385051473270025,0.9019354838709678,0.5368663594470046,0.6294145696764614
2727,398.7700534759358,204.3181818181818,560.1764705882352,239.79144385026737,118.9812834224599,115.43315508021391,123.85561497326204,190.44385026737967,132.05347593582889,157.51871657754012,112.5909090909091,114.66042780748663,5692.457219251337,4635.347593582887,374,26.559790446359873,19.37899865492897,0.6838349523139705,0.9121951219512195,0.56071964017991,-1.3831153811948917
2728,685.1703896103896,165.60935064935066,437.6212987012987,140.505974025974,110.47688311688312,106.9864935064935,104.84103896103896,144.48415584415585,122.62493506493506,146.16363636363636,111.16935064935065,113.85974025974026,9664.0187012987,4649.010389610389,1925,49.9961105748307,49.13774219847888,0.18450648157970495,0.973697521497218,0.8020833333333334,-1.3114831555001105
2729,467.61318568117434,197.78599021375226,628.2910121040433,179.86711305691475,186.09039402523823,138.15709502961627,172.93690445531806,226.9456605717229,141.2897244398661,159.1086788565542,116.35127478753542,113.61730620654133,7494.5534380633535,4660.830285861447,3883,73.18553979840095,67.74786730657969,0.3782580841438864,0.9709927481870467,0.759585289514867,-0.6572089945678306
2730,268.81481481481484,138.0082304526749,323.37242798353907,136.89368998628257,239.13100137174212,129.82990397805213,157.63991769547326,201.13854595336076,141.76748971193416,157.36899862825788,117.68587105624142,111.33539094650206,6030.292181069959,4649.8566529492455,1458,44.873800995848825,41.600884321011684,0.3749031693707699,0.9598420013166556,0.7706131078224101,-0.7229748904486709
2731,290.3034159410583,120.54989953114534,231.53717347622236,126.5204286671132,133.44474212993973,111.70060281312793,115.53315472203617,166.47555257870061,121.86872069658406,144.71466845277965,109.92632283991962,112.29002009377093,7707.663764233088,4649.535833891494,1493,46.1492167523641,41.43678455569171,0.4402258821391794,0.9626047711154094,0.7548028311425683,-1.0917998163317955
2732,296.9849537037037,204.96064814814815,552.9849537037037,170.58449074074073,207.89583333333334,115.60069444444444,120.44675925925925,185.2002314814815,127.07175925925925,152.0023148148148,112.57754629629629,113.93981481481481,7623.033564814815,4649.725694444444,864,41.16974770237072,26.904776323295142,0.756919255441918,0.9568106312292359,0.6486486486486487,-0.8929415283505451
2733,234.55577299412917,112.12328767123287,162.1761252446184,115.91389432485323,135.70645792563602,121.70058708414872,137.08414872798434,248.75929549902153,132.87084148727985,153.73189823874756,113.13111545988258,112.95107632093934,3866.1037181996085,4646.328767123287,511,27.303026828294588,23.953178232149618,0.47992681687932165,0.9587242026266416,0.7885802469135802,0.24132687223622062
2734,469.3922261484099,200.58657243816253,578.2508833922261,294.34982332155477,132.34982332155477,126.0,150.29328621908127,240.21201413427562,136.2791519434629,162.15547703180212,117.89752650176679,114.67491166077738,5676.911660777385,4645.113074204947,283,21.192587273387353,17.805007986177664,0.5423500292119039,0.9625850340136054,0.6152173913043478,1.2437652456223987
2735,233.83559782608697,108.54211956521739,162.20108695652175,116.0991847826087,116.66576086956522,111.20788043478261,116.26358695652173,167.77717391304347,114.50815217391305,122.47554347826087,104.88179347826087,111.60054347826087,7759.327445652174,4651.39402173913,736,36.16512907328792,30.01436521743264,0.5578741388664628,0.7888531618435155,0.5841269841269842,1.3225875115398364
2736,665.6198830409356,137.37426900584796,308.19883040935673,152.55555555555554,117.7719298245614,107.64912280701755,105.69005847953217,149.7719298245614,135.80701754385964,135.80701754385964,111.95906432748538,111.50877192982456,8730.280701754386,4641.994152046784,171,16.741909600859135,13.631421099567627,0.5805712382047737,0.9661016949152542,0.8724489795918368,-0.6301658551522126
2737,567.0167364016736,190.60251046025104,521.4811715481171,156.94142259414227,240.5439330543933,129.0774058577406,154.15062761506277,230.98953974895397,127.78033472803347,157.2573221757322,113.10460251046025,113.57322175732217,9391.44560669456,4647.4748953974895,478,31.114726232756723,20.97259789105886,0.738694032071359,0.8802946593001841,0.6704067321178121,0.4295743456256775
2738,348.99571734475376,155.97002141327624,425.1953961456103,152.063704496788,168.70235546038543,122.62366167023555,143.92612419700214,319.9186295503212,134.13811563169165,156.68843683083512,117.02676659528908,112.55192719486081,5949.457708779443,4661.359743040685,1868,52.20777952659425,45.948300925413776,0.4747800491518877,0.9594247560349255,0.79421768707483,1.0384318336521219
2739,470.8006756756757,200.8180501930502,589.2239382239383,292.3156370656371,107.00241312741312,105.98407335907336,103.21332046332046,136.84073359073358,122.6742277992278,146.04247104247105,109.87162162162163,110.89623552123552,10226.406853281853,4661.750482625483,2072,61.13704864504409,43.955475747970716,0.6950449657181605,0.9474165523548239,0.6851851851851852,1.2654002889248182
2740,624.3819517313746,136.35571878279117,308.62434417628543,128.78279118572928,164.12067156348374,141.41448058761804,194.52256033578175,256.1511017838405,125.45120671563484,149.27177334732423,109.9118572927597,113.37880377754459,3466.0745015739767,4658.653725078699,953,43.55751445708893,28.23081768551858,0.7615319431586506,0.9684959349593496,0.7165413533834587,0.6106896644067237
2741,433.9640522875817,128.2892156862745,240.45424836601308,136.63398692810458,221.97549019607843,117.9673202614379,123.41013071895425,203.2156862745098,137.32679738562092,152.63888888888889,113.89379084967321,113.73692810457516,3776.826797385621,4651.99183006536,612,28.332294562444787,27.667777519787286,0.21531069680319342,0.9532710280373832,0.7816091954022989,-0.08818033636994389
2742,370.98025134649913,159.5547576301616,423.62657091561937,143.294434470377,242.70377019748653,120.50807899461401,134.40035906642728,223.97845601436265,137.53680430879712,157.34290843806104,115.86175942549372,113.61220825852783,4833.931777378815,4653.003590664272,557,28.89893350211055,24.722690737762193,0.5178226404408003,0.9670138888888888,0.8002873563218391,-0.28674356250587774
2743,835.5328389830509,162.9634533898305,417.9539194915254,186.42478813559322,214.14989406779662,134.5259533898305,168.55667372881356,202.92055084745763,136.96451271186442,158.36599576271186,115.85911016949153,113.10646186440678,6653.218220338983,4666.513771186441,1888,58.01847686759887,41.86001525678853,0.692420106895825,0.9511335012594458,0.6855482933914306,-0.9941431577720703
2744,503.03036053130927,158.19734345351043,432.67172675521823,138.1764705882353,130.80645161290323,113.03984819734346,108.8292220113852,156.12713472485768,117.58254269449715,134.26944971537003,108.18406072106262,111.72106261859582,8479.127134724858,4653.157495256167,527,27.30209552600513,24.693738056354306,0.42655186564565734,0.9723247232472325,0.844551282051282,-1.23134033969843
2745,349.16126042632067,136.03799814643187,314.2316960148286,137.9406858202039,159.68118628359593,112.7516218721038,123.39944392956441,178.29008341056533,133.42168674698794,157.03429101019464,114.68118628359592,113.30954587581094,3283.5894346617238,4664.409638554217,1079,43.64031020298985,31.70412650961949,0.6871800031933937,0.9473222124670764,0.7603946441155743,-0.05268810807996273
2746,867.9748482220294,171.00173460537727,457.460537727667,164.64093668690373,148.6218560277537,135.36339982653945,172.43798785776235,311.6157849089332,140.02341717259324,161.55420641803988,116.96270598438855,113.94189071986123,6988.748482220295,4664.906331309627,1153,46.21403245089997,32.42142510242943,0.7126208592246716,0.9404567699836868,0.703907203907204,-0.7516663987637142
2747,360.24831081081084,133.53040540540542,295.1030405405405,133.72804054054055,112.47128378378379,109.53378378378379,106.66216216216216,150.20945945945945,129.67567567567568,150.0152027027027,112.21621621621621,112.06756756756756,3914.660472972973,4658.956081081081,592,30.087898055260393,25.20842503334047,0.545937263664035,0.9502407704654896,0.7551020408163265,-0.7397531790125975
2748,708.6646825396825,184.12003968253967,553.8501984126984,214.51785714285714,116.43253968253968,111.6438492063492,113.86507936507937,188.77380952380952,156.06150793650792,173.7123015873016,126.48313492063492,114.78472222222223,6837.954365079365,4667.236111111111,1008,49.73450317734919,26.166710813565352,0.850405438354377,0.9482596425211665,0.7390029325513197,-0.35429413513170993
2749,220.39444444444445,116.71388888888889,200.23055555555555,125.48333333333333,110.80277777777778,107.575,106.6138888888889,140.96666666666667,198.76388888888889,173.56944444444446,129.91666666666666,113.25277777777778,2141.6555555555556,4656.361111111111,360,24.709763962379235,18.645779570393454,0.6561947601411076,0.967741935483871,0.7894736842105263,-1.170434004778573
2750,573.5738255033557,168.13003355704697,531.260067114094,175.70889261744966,165.2491610738255,132.9496644295302,163.5041946308725,268.81711409395973,133.72902684563758,149.9228187919463,110.88842281879195,112.4748322147651,7295.387583892618,4669.337248322147,1192,44.71676760093953,36.15922268899951,0.5883205204198372,0.9415481832543444,0.5792031098153547,-1.422843728062255
2751,796.1666666666666,142.76436781609195,321.42528735632186,156.33333333333334,112.77011494252874,106.86206896551724,103.73563218390805,145.94827586206895,131.44252873563218,129.56896551724137,111.56896551724138,114.55172413793103,8729.005747126437,4655.913793103448,174,16.32013257315753,14.30755926257376,0.48107114299187115,0.9508196721311475,0.7767857142857143,-0.49419322379147906
2752,795.6807297605474,162.64538198403648,422.6932725199544,161.77423033067274,157.08893956670468,132.2018244013683,160.05245153933865,165.24629418472063,135.1049030786773,156.7217787913341,115.35233751425314,113.48688711516533,4940.378563283923,4669.823261117446,877,43.04576415016305,26.292545451501407,0.7917814667470103,0.9574235807860262,0.707258064516129,0.48456844682277095
2753,835.8839779005525,179.32044198895028,480.35174953959483,181.3572744014733,212.40883977900552,133.95211786372008,176.4548802946593,266.8545119705341,152.1049723756906,188.98526703499078,132.28729281767957,117.50092081031308,3535.9907918968693,4666.918968692449,543,33.75479398516167,20.77501845678509,0.7881613447967429,0.9627659574468085,0.7298387096774194,0.40444152309137593
2754,616.9010989010989,134.67032967032966,292.5659340659341,122.17032967032966,110.08241758241758,108.75274725274726,106.37362637362638,148.97252747252747,131.1978021978022,151.75274725274724,112.81868131868131,112.93406593406593,5149.120879120879,4659.571428571428,182,24.511834714304065,9.822469736380885,0.9161990101789199,0.9528795811518325,0.45614035087719296,0.7664611059149349
2755,577.9162342475909,136.87472201630837,305.0511489992587,129.57894736842104,109.21200889547814,107.77761304670126,104.43661971830986,145.13343217197925,130.9747961452928,149.6567828020756,111.94292068198666,112.96145292809489,5201.588584136397,4671.862120088955,1349,42.97478477069356,40.76626825508444,0.316450527709594,0.9677187948350072,0.7469545957918051,-0.24298715845470228
2756,418.68794326241135,152.1725768321513,379.7304964539007,155.5981087470449,146.34278959810874,111.60047281323877,116.78486997635933,159.91962174940898,138.80851063829786,159.56028368794327,116.08274231678487,112.35933806146572,6445.737588652482,4661.416075650118,423,26.694400152155175,20.877685874102397,0.6231531535662584,0.9484304932735426,0.6778846153846154,-1.0246977699166215
2757,244.50689972401105,120.3210671573137,225.5179392824287,129.47746090156394,121.98344066237351,109.86568537258509,109.63661453541859,156.85464581416744,116.4130634774609,139.6136154553818,109.7378104875805,111.82796688132474,7814.958601655934,4671.715731370745,1087,39.15729292881038,35.76066097418952,0.4073845359267095,0.9551845342706503,0.7532917532917532,0.6254040390300487
2758,749.5508021390374,184.11096256684493,515.8114973262032,148.80748663101605,130.24598930481284,121.56283422459893,134.02005347593584,261.24732620320856,139.27807486631016,158.41711229946523,116.39438502673796,113.45588235294117,6772.906417112299,4669.648395721925,748,39.62828571179743,24.20665449340153,0.7917518725922181,0.9565217391304348,0.6894009216589861,-0.9412352156403393
2759,293.0671316477768,192.85789014821273,516.4969485614647,177.4777680906713,215.56669572798606,114.21708805579773,119.512641673932,187.02179598953794,130.64254577157803,152.08020924149957,113.55187445510026,114.33391455972101,7604.4315605928505,4683.0156931124675,1147,55.15562940159865,28.652610385800944,0.8544785968501402,0.8611111111111112,0.6127136752136753,0.3605703939835471
